TRINITY_DN112989_c0_g1_i1.p1	sp|P09026|HXB3_MOUSE	100.000	149	0	0	1	149	1	149	2.83e-99	295
TRINITY_DN112992_c0_g1_i1.p1	sp|Q69ZL1|FGD6_MOUSE	100.000	149	0	0	1	149	1	149	2.07e-95	303
TRINITY_DN112903_c0_g1_i1.p1	sp|Q9CXH7|SGO1_MOUSE	100.000	102	0	0	1	102	163	264	9.34e-67	211
TRINITY_DN112942_c0_g1_i1.p1	sp|Q9CX62|INKA1_MOUSE	100.000	189	0	0	1	189	19	207	9.14e-137	386
TRINITY_DN112953_c0_g1_i1.p1	sp|A2AJK6|CHD7_MOUSE	98.810	168	2	0	7	174	2645	2812	2.46e-105	334
TRINITY_DN112972_c0_g1_i1.p1	sp|Q3TNU4|YD021_MOUSE	100.000	120	0	0	38	157	1	120	4.20e-79	248
TRINITY_DN112920_c0_g1_i1.p1	sp|Q9D8X2|CC124_MOUSE	100.000	217	0	0	1	217	1	217	5.83e-152	423
TRINITY_DN100438_c0_g1_i1.p1	sp|Q3V1M1|IGS10_MOUSE	99.351	154	1	0	1	154	45	198	2.36e-100	318
TRINITY_DN100486_c0_g1_i1.p1	sp|Q6ZMV8|ZN730_HUMAN	55.862	145	64	0	14	158	1	145	1.05e-44	159
TRINITY_DN100442_c0_g1_i1.p1	sp|Q3UIJ9|MYZAP_MOUSE	100.000	189	0	0	1	189	1	189	8.91e-140	400
TRINITY_DN100447_c0_g1_i1.p1	sp|Q8BHX3|BOREA_MOUSE	100.000	110	0	0	1	110	141	250	1.03e-74	225
TRINITY_DN100473_c0_g1_i1.p1	sp|Q80XB4|NRAP_MOUSE	100.000	121	0	0	1	121	659	779	8.05e-77	249
TRINITY_DN100473_c0_g1_i1.p1	sp|Q80XB4|NRAP_MOUSE	53.719	121	56	0	1	121	1388	1508	3.33e-35	130
TRINITY_DN100473_c0_g1_i1.p1	sp|Q80XB4|NRAP_MOUSE	52.893	121	57	0	1	121	902	1022	8.80e-35	129
TRINITY_DN100473_c0_g1_i1.p1	sp|Q80XB4|NRAP_MOUSE	47.107	121	64	0	1	121	1145	1265	1.99e-28	111
TRINITY_DN100473_c0_g1_i1.p1	sp|Q80XB4|NRAP_MOUSE	42.593	54	31	0	2	55	1632	1685	6.22e-08	52.8
TRINITY_DN100473_c0_g1_i1.p1	sp|Q80XB4|NRAP_MOUSE	37.143	70	44	0	52	121	471	540	1.81e-07	51.6
TRINITY_DN116084_c0_g1_i1.p1	sp|Q63170|DYH7_RAT	87.805	123	15	0	1	123	535	657	2.95e-68	225
TRINITY_DN116061_c0_g1_i1.p2	sp|Q8BM75|ARI5B_MOUSE	100.000	90	0	0	1	90	3	92	3.44e-59	199
TRINITY_DN116100_c0_g1_i1.p1	sp|A2AVR2|MROH7_MOUSE	100.000	110	0	0	1	110	868	977	2.74e-71	233
TRINITY_DN116563_c0_g1_i1.p1	sp|Q3UF64|RNFT2_MOUSE	100.000	126	0	0	1	126	26	151	9.90e-86	259
TRINITY_DN116552_c0_g1_i1.p1	sp|Q9CPS8|SMAKA_MOUSE	100.000	100	0	0	35	134	1	100	4.05e-70	208
TRINITY_DN116574_c0_g1_i1.p1	sp|P07934|PHKG1_MOUSE	100.000	81	0	0	45	125	1	81	9.82e-51	167
